# Entity to Wikidata ID Mapping
# Format: original_entity_name	wikidata_id	label	description	similarity_score

"1914"	Q2083	1914	year	1.000
"Ah! Sweet Mystery of Life"	Q74276861	Ah! Sweet Mystery of Life, at Last I’ve Found Thee	short story by Roald Dahl	0.787
"Babylon 5"	Q210146	Babylon 5	American space opera television series created by writer and producer J. Michael Straczynski	1.000
"Blindness"	Q10874	blindness	complete or nearly complete lack of vision; visual acuity worse than 3/60	1.000
"Death with Interruptions"	Q2713340	Death with Interruptions	2005 novel by José Saramago	1.000
"Dookie"	Q211292	Dookie	1994 studio album by Green Day	1.000
"Entertaining Mr. Sloane"	Q5380436	Entertaining Mr Sloane	1970 film by Douglas Hickox	1.000
"Everyman"	Q662065	Everyman	15th-century morality play.	1.000
"Father of New France"	NO_MATCH	N/A	N/A	0.000
"Geographica" in 1999	NO_MATCH	N/A	N/A	0.000
"Grammar of the Latin Language"	Q27716	Latin grammar	grammar of the Latin language	1.000
"Just another Perl hacker"	Q1413365	Just another Perl hacker	frivolous Perl program	1.000
"Loot"	Q12495294	Loot	village in East Aceh Regency, Aceh, Indonesia	1.000
"She Done Him Wrong"	Q62163	She Done Him Wrong	1933 film by Lowell Sherman	1.000
"Take Me Out to the Ball Game"	Q1363603	Take Me Out to the Ball Game	song written by Albert Von Tilzer and Jack Norworth in 1908	1.000
"Take Me Out to the Ball Game" lyrics	NO_MATCH	N/A	N/A	0.000
"The Castle of Perseverance"	Q668476	The Castle of Perseverance	late medieval English morality play	1.000
"The Girl Who Loved Tom Gordon"	Q930666	The Girl Who Loved Tom Gordon	novel by Stephen King	1.000
"The Gospel According to Jesus Christ"	Q1351463	The Gospel According to Jesus Christ	novel by José Saramago	1.000
"The Outer Limits"	Q1621450	The Outer Limits	television series originally broadcast from 1995 to 2002	1.000
"The Soldier"	Q12749973	The Soldier	1966 film	1.000
"The X-Files"	Q2744	The X-Files	1993–2002 American science fiction-drama television series	1.000
"Tramp! Tramp! Tramp!"	Q2448554	Tramp! Tramp! Tramp!	song	1.000
"Wishful Thinking" in 2000	NO_MATCH	N/A	N/A	0.000
"You Can't Take It with You"	Q637835	You Can't Take It With You	1938 film by Frank Capra	1.000
"draconian"	Q5304651	Draconian	1984 video game	1.000
"father of renown"	NO_MATCH	N/A	N/A	0.000
"identity, memory, and the nature of consciousness"	NO_MATCH	N/A	N/A	0.000
"mother of reading"	NO_MATCH	N/A	N/A	0.000
"my father is majesty"	NO_MATCH	N/A	N/A	0.000
"supplanter" in Hebrew	NO_MATCH	N/A	N/A	0.000
"the Ceremonious"	Q72169452	The ceremonious opening of the new building of the Central Hospital of the Ministry of Defense	scientific article published on 01 August 1968	0.354
"the Conqueror"	Q3520386	The Conqueror	1917 film by Raoul Walsh	1.000
1.602 x 10^-19 joules	NO_MATCH	N/A	N/A	0.000
100 members	NO_MATCH	N/A	N/A	0.000
1035	Q6370925	1035	natural number	1.000
1113	Q12681211	1113	natural number	1.000
1119	Q12681220	1119	natural number	1.000
1123 to 1142	NO_MATCH	N/A	N/A	0.000
1124	Q4274072	1124	natural number	1.000
1151	Q13634607	1151	natural number	1.000
1155	Q12681242	1155	natural number	1.000
1164	Q12681252	1164	natural number	1.000
13 studio albums	NO_MATCH	N/A	N/A	0.000
1383 to 1392	NO_MATCH	N/A	N/A	0.000
1392	Q13634771	1392	natural number	1.000
14 books	NO_MATCH	N/A	N/A	0.000
